Month,Price
23-Mar,2.31
23-Feb,2.38
23-Jan,3.27
22-Dec,5.53
22-Nov,5.45
22-Oct,5.66
22-Sep,7.88
22-Aug,8.81
22-Jul,7.28
22-Jun,7.7
22-May,8.14
22-Apr,6.6
22-Mar,4.9
22-Feb,4.69
22-Jan,4.38
21-Dec,3.76
21-Nov,5.05
21-Oct,5.51
21-Sep,5.16
21-Aug,4.07
21-Jul,3.84
21-Jun,3.26
21-May,2.91
21-Apr,2.66
21-Mar,2.62
21-Feb,5.35
21-Jan,2.71
20-Dec,2.59
20-Nov,2.61
20-Oct,2.39
20-Sep,1.92
20-Aug,2.3
20-Jul,1.77
20-Jun,1.63
20-May,1.75
20-Apr,1.74
20-Mar,1.79
20-Feb,1.91
20-Jan,2.02
19-Dec,2.22
19-Nov,2.65
19-Oct,2.33
19-Sep,2.56
19-Aug,2.22
19-Jul,2.37
19-Jun,2.4
19-May,2.64
19-Apr,2.65
19-Mar,2.95
19-Feb,2.69
19-Jan,3.11
18-Dec,4.04
18-Nov,4.09
18-Oct,3.28
18-Sep,3
18-Aug,2.96
18-Jul,2.83
18-Jun,2.97
18-May,2.8
18-Apr,2.8
18-Mar,2.69
18-Feb,2.67
18-Jan,3.87
17-Dec,2.82
17-Nov,3.01
17-Oct,2.88
17-Sep,2.98
17-Aug,2.9
17-Jul,2.98
17-Jun,2.98
17-May,3.15
17-Apr,3.1
17-Mar,2.88
17-Feb,2.85
17-Jan,3.3
16-Dec,3.59
16-Nov,2.55
16-Oct,2.98
16-Sep,2.99
16-Aug,2.82
16-Jul,2.82
16-Jun,2.59
16-May,1.92
16-Apr,1.92
16-Mar,1.73
16-Feb,1.99
16-Jan,2.28
15-Dec,1.93
15-Nov,2.09
15-Oct,2.34
15-Sep,2.66
15-Aug,2.77
15-Jul,2.84
15-Jun,2.78
15-May,2.85
15-Apr,2.61
15-Mar,2.83
15-Feb,2.87
15-Jan,2.99
14-Dec,3.48
14-Nov,4.12
14-Oct,3.78
14-Sep,3.92
14-Aug,3.91
14-Jul,4.05
14-Jun,4.59
14-May,4.58
14-Apr,4.66
14-Mar,4.9
14-Feb,6
14-Jan,4.71
13-Dec,4.24
13-Nov,3.64
13-Oct,3.68
13-Sep,3.62
